iteration,l1_delta,nodes,edges,damping,epsilon,source
1,0.16461742138652546,709,1668,0.85,1e-08,measured_graph_edges_snapshot
2,0.051971594613455525,709,1668,0.85,1e-08,measured_graph_edges_snapshot
3,0.01955132294591952,709,1668,0.85,1e-08,measured_graph_edges_snapshot
4,0.007423321858564091,709,1668,0.85,1e-08,measured_graph_edges_snapshot
5,0.003102020445097526,709,1668,0.85,1e-08,measured_graph_edges_snapshot
6,0.0007776959297043629,709,1668,0.85,1e-08,measured_graph_edges_snapshot
7,0.0002906160743307701,709,1668,0.85,1e-08,measured_graph_edges_snapshot
8,0.0001486841224710828,709,1668,0.85,1e-08,measured_graph_edges_snapshot
9,5.389041820623073e-05,709,1668,0.85,1e-08,measured_graph_edges_snapshot
10,2.1294972799120165e-05,709,1668,0.85,1e-08,measured_graph_edges_snapshot
11,8.177674954289995e-06,709,1668,0.85,1e-08,measured_graph_edges_snapshot
12,2.7842595838644194e-06,709,1668,0.85,1e-08,measured_graph_edges_snapshot
13,8.599319896245537e-07,709,1668,0.85,1e-08,measured_graph_edges_snapshot
14,3.0712257207679214e-07,709,1668,0.85,1e-08,measured_graph_edges_snapshot
15,1.0489630840738833e-07,709,1668,0.85,1e-08,measured_graph_edges_snapshot
16,4.8387027656122614e-08,709,1668,0.85,1e-08,measured_graph_edges_snapshot
17,2.1776859853361516e-08,709,1668,0.85,1e-08,measured_graph_edges_snapshot
18,9.386529693485371e-09,709,1668,0.85,1e-08,measured_graph_edges_snapshot
