workers,target_pages,pages_stored,documents_stored,elapsed_seconds,throughput_pages_per_second,avg_system_cpu_percent,avg_worker_cpu_percent_total,avg_system_memory_mb,avg_redis_memory_mb,max_redis_memory_mb,frontier_size_after_run,processing_size_after_run,links_duplicate,errors,timeouts,source
1,200,203,203,8.161699299991596,24.872271390862075,10.6175,27.02,13624.5951171875,21.783731842041014,21.82421112060547,283,0,846,20,0,independent_worker_subprocesses
2,200,202,202,4.7128355000168085,42.861670007213185,12.226086956521739,73.59565217391305,13699.921535326086,21.8185511050017,21.8726806640625,282,0,844,20,0,independent_worker_subprocesses
3,200,222,222,4.124114400008693,53.82973857357886,14.48,100.42,13778.2337890625,21.85340270996094,21.91370391845703,304,0,886,20,0,independent_worker_subprocesses
4,200,229,229,3.734368400007952,61.322284110885356,20.16111111111111,137.1222222222222,13835.996527777777,21.879154629177517,21.989608764648438,318,0,907,20,0,independent_worker_subprocesses
5,200,232,232,3.7749915999593213,61.4570903952475,21.855555555555554,172.0666666666667,13872.198133680555,21.912723965115017,22.03692626953125,324,0,916,20,0,independent_worker_subprocesses
6,200,234,234,3.374818999960553,69.33705185455432,26.58125,227.99375,13949.500732421875,21.935882091522217,22.10986328125,328,0,922,20,0,independent_worker_subprocesses
7,200,222,222,3.404958600003738,65.19903061369271,28.625,253.76874999999998,14006.25,21.956298828125,22.189620971679688,307,0,888,20,0,independent_worker_subprocesses
8,200,223,223,3.4133566000382416,65.33158592263744,33.85625,300.15625,14175.084228515625,21.97030782699585,22.23705291748047,308,0,895,20,0,independent_worker_subprocesses
9,200,236,236,3.442169999994803,68.56140167404756,34.33125,347.33750000000003,14093.606689453125,22.014004707336426,22.29151153564453,332,0,928,20,0,independent_worker_subprocesses
10,200,280,280,3.667378499987535,76.34881428272311,45.817647058823525,416.66470588235296,14091.956801470587,22.051985347972195,22.365318298339844,390,0,1029,20,0,independent_worker_subprocesses
11,200,278,278,3.700266500003636,75.1297237644172,46.1764705882353,455.4058823529412,13513.27987132353,22.08054755715763,22.453163146972656,384,0,1038,20,0,independent_worker_subprocesses
12,200,278,278,3.710763600014616,74.91719494039044,49.95294117647059,510.1235294117647,13565.28262867647,22.12404228659237,22.520484924316406,383,0,1036,20,0,independent_worker_subprocesses
13,200,283,283,3.730988299997989,75.85121615100013,55.21176470588235,548.8176470588235,13614.388786764706,22.118099437040442,22.57110595703125,390,0,1043,20,0,independent_worker_subprocesses
14,200,279,279,3.9746554999728687,70.19476279187076,57.80555555555556,594.6722222222222,13629.014322916666,22.122718811035156,22.63214874267578,386,0,1050,20,0,independent_worker_subprocesses
15,200,286,286,3.773547900025733,75.79074324140676,60.47647058823529,673.3352941176471,13767.758042279413,22.16939140768612,22.73645782470703,400,0,1049,20,0,independent_worker_subprocesses
16,200,285,285,3.8085874999524094,74.83089203111685,61.10588235294117,706.0294117647059,13842.796875,22.18964879653033,22.794769287109375,392,0,1081,20,0,independent_worker_subprocesses
17,200,270,270,3.8356221999856643,70.39275140315152,67.18235294117646,763.9117647058823,13868.24862132353,22.221407273236444,22.853118896484375,378,0,1038,20,0,independent_worker_subprocesses
18,200,311,311,4.0914040000061505,76.01302633509975,70.63333333333334,803.2833333333333,13556.688802083334,22.24952612982856,22.971824645996094,443,0,1148,20,0,independent_worker_subprocesses
19,200,313,313,4.127630800008774,75.83042553111453,72.49444444444445,859.0666666666667,13653.205512152777,22.275366889105904,23.028579711914062,445,0,1115,21,0,independent_worker_subprocesses
20,200,287,287,4.1349408000241965,69.40849068463581,74.46111111111111,890.2111111111112,13735.8125,22.269656711154514,23.089927673339844,402,0,1058,20,0,independent_worker_subprocesses
